Indicator Name,Short definition,Long definition,Source,Topic/Theme,Periodicity,Base Period,Aggregation method,Conceptual implications and limitations,Notes from original source,
"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)","Burden of Customs Procedure measures business executives' perceptions of their country's efficiency of customs procedures. The rating ranges from 1 to 7, with a higher score indicating greater efficiency.","Burden of Customs Procedure measures business executives' perceptions of their country's efficiency of customs procedures. The rating ranges from 1 to 7, with a higher score indicating greater efficiency. Data are from the World Economic Forum's Executive Opinion Survey, conducted for 30 years in collaboration with 150 partner institutes. The 2009 round included more than 13,000 respondents from 133 countries. Sampling follows a dual stratification based on company size and the sector of activity. Data are collected online or through in-person interviews. Responses are aggregated using sector-weighted averaging. The data for the latest year are combined with the data for the previous year to create a two-year moving average. Respondents evaluated the efficiency of customs procedures in their country. The lowest score (1) rates the customs procedure as extremely inefficient, and the highest score (7) as extremely efficient.","World Economic Forum, Global Competiveness Report and data files.",Infrastructure: Transportation,Annual,,Unweighted average,,,
"Commercial bank branches (per 100,000 adults)",Commercial bank branches are retail locations of resident commercial banks and other resident banks that function as commercial banks that provide financial services to customers and are physically separated from the main office but not organized as legally separated subsidiaries.,Commercial bank branches are retail locations of resident commercial banks and other resident banks that function as commercial banks that provide financial services to customers and are physically separated from the main office but not organized as legally separated subsidiaries.,International Monetary Fund.,Financial Sector: Access,,,Weighted average,,,
Commercial service exports (current US$),"Commercial service exports are total service exports minus exports of government services not included elsewhere. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) as the economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Definitions may vary among reporting economies.","Commercial service exports are total service exports minus exports of government services not included elsewhere. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) as the economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Definitions may vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Private Sector & Trade: Exports,Annual,,Gap-filled total,,,
Commercial service imports (current US$),"Commercial service imports are total service imports minus imports of government services not included elsewhere. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) as the economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Definitions may vary among reporting economies.","Commercial service imports are total service imports minus imports of government services not included elsewhere. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) as the economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Definitions may vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Private Sector & Trade: Imports,Annual,,Gap-filled total,,,
Consumer price index (2005 = 100),"Consumer price index reflects changes in the cost to the average consumer of acquiring a basket of goods and services that may be fixed or changed at specified intervals, such as yearly. The Laspeyres formula is generally used.","Consumer price index reflects changes in the cost to the average consumer of acquiring a basket of goods and services that may be fixed or changed at specified intervals, such as yearly. The Laspeyres formula is generally used.","International Monetary Fund, International Financial Statistics and data files.",Financial Sector: Exchange rates & prices,Annual,2005,Median,,,
Container port traffic (TEU: 20 foot equivalent units),"Port container traffic measures the flow of containers from land to sea transport modes., and vice versa, in twenty-foot equivalent units (TEUs), a standard-size container. Data refer to coastal shipping as well as international journeys. Transshipment traffic is counted as two lifts at the intermediate port (once to off-load and again as an outbound lift) and includes empty units.","Port container traffic measures the flow of containers from land to sea transport modes., and vice versa, in twenty-foot equivalent units (TEUs), a standard-size container. Data refer to coastal shipping as well as international journeys. Transshipment traffic is counted as two lifts at the intermediate port (once to off-load and again as an outbound lift) and includes empty units.","Containerisation International, Containerisation International Yearbook.",Infrastructure: Transportation,Annual,,Sum,,,
Cost of business start-up procedures (% of GNI per capita),Cost to register a business is normalized by presenting it as a percentage of gross national income (GNI) per capita.,Cost to register a business is normalized by presenting it as a percentage of gross national income (GNI) per capita.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,Annual,,Unweighted average,,,
Cost to export (US$ per container),"Cost measures the fees levied on a 20-foot container in U.S. dollars. All the fees associated with completing the procedures to export or import the goods are included. These include costs for documents, administrative fees for customs clearance and technical control, customs broker fees, terminal handling charges and inland transport. The cost measure does not include tariffs or trade taxes. Only official costs are recorded.","Cost measures the fees levied on a 20-foot container in U.S. dollars. All the fees associated with completing the procedures to export or import the goods are included. These include costs for documents, administrative fees for customs clearance and technical control, customs broker fees, terminal handling charges and inland transport. The cost measure does not include tariffs or trade taxes. Only official costs are recorded. Several assumptions are made for the business surveyed: Has 60 or more employees; Is located in the country's most populous city; Is a private, limited liability company. It does not operate within an export processing zone or an industrial estate with special export or import privileges; Is domestically owned with no foreign ownership; Exports more than 10% of its sales. Assumptions about the traded goods: The traded product travels in a dry-cargo, 20-foot, full container load. The product: Is not hazardous nor does it include military items; Does not require refrigeration or any other special environment; Does not require any special phytosanitary or environmental safety standards other than accepted international standards.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,Annual,,Unweighted average,,,
Cost to import (US$ per container),"Cost measures the fees levied on a 20-foot container in U.S. dollars. All the fees associated with completing the procedures to export or import the goods are included. These include costs for documents, administrative fees for customs clearance and technical control, customs broker fees, terminal handling charges and inland transport. The cost measure does not include tariffs or trade taxes. Only official costs are recorded.","Cost measures the fees levied on a 20-foot container in U.S. dollars. All the fees associated with completing the procedures to export or import the goods are included. These include costs for documents, administrative fees for customs clearance and technical control, customs broker fees, terminal handling charges and inland transport. The cost measure does not include tariffs or trade taxes. Only official costs are recorded.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,Annual,,Unweighted average,,,
CPIA building human resources rating (1=low to 6=high),"Building human resources assesses the national policies and public and private sector service delivery that affect the access to and quality of health and education services, including prevention and treatment of HIV/AIDS, tuberculosis, and malaria.","Building human resources assesses the national policies and public and private sector service delivery that affect the access to and quality of health and education services, including prevention and treatment of HIV/AIDS, tuberculosis, and malaria.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA business regulatory environment rating (1=low to 6=high),"Business regulatory environment assesses the extent to which the legal, regulatory, and policy environments help or hinder private businesses in investing, creating jobs, and becoming more productive.","Business regulatory environment assesses the extent to which the legal, regulatory, and policy environments help or hinder private businesses in investing, creating jobs, and becoming more productive.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA debt policy rating (1=low to 6=high),Debt policy assesses whether the debt management strategy is conducive to minimizing budgetary risks and ensuring long-term debt sustainability.,Debt policy assesses whether the debt management strategy is conducive to minimizing budgetary risks and ensuring long-term debt sustainability.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA economic management cluster average (1=low to 6=high),"The economic management cluster includes macroeconomic management, fiscal policy, and debt policy.","The economic management cluster includes macroeconomic management, fiscal policy, and debt policy.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA efficiency of revenue mobilization rating (1=low to 6=high),"Efficiency of revenue mobilization assesses the overall pattern of revenue mobilization--not only the de facto tax structure, but also revenue from all sources as actually collected.","Efficiency of revenue mobilization assesses the overall pattern of revenue mobilization--not only the de facto tax structure, but also revenue from all sources as actually collected.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA equity of public resource use rating (1=low to 6=high),Equity of public resource use assesses the extent to which the pattern of public expenditures and revenue collection affects the poor and is consistent with national poverty reduction priorities.,Equity of public resource use assesses the extent to which the pattern of public expenditures and revenue collection affects the poor and is consistent with national poverty reduction priorities.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA financial sector rating (1=low to 6=high),Financial sector assesses the structure of the financial sector and the policies and regulations that affect it.,Financial sector assesses the structure of the financial sector and the policies and regulations that affect it.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA fiscal policy rating (1=low to 6=high),Fiscal policy assesses the short- and medium-term sustainability of fiscal policy (taking into account monetary and exchange rate policy and the sustainability of the public debt) and its impact on growth.,Fiscal policy assesses the short- and medium-term sustainability of fiscal policy (taking into account monetary and exchange rate policy and the sustainability of the public debt) and its impact on growth.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA gender equality rating (1=low to 6=high),"Gender equality assesses the extent to which the country has installed institutions and programs to enforce laws and policies that promote equal access for men and women in education, health, the economy, and protection under law.","Gender equality assesses the extent to which the country has installed institutions and programs to enforce laws and policies that promote equal access for men and women in education, health, the economy, and protection under law.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA macroeconomic management rating (1=low to 6=high),"Macroeconomic management assesses the monetary, exchange rate, and aggregate demand policy framework.","Macroeconomic management assesses the monetary, exchange rate, and aggregate demand policy framework.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),"The policies for social inclusion and equity cluster includes gender equality, equity of public resource use, building human resources, social protection and labor, and policies and institutions for environmental sustainability.","The policies for social inclusion and equity cluster includes gender equality, equity of public resource use, building human resources, social protection and labor, and policies and institutions for environmental sustainability.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Policy and institutions for environmental sustainability assess the extent to which environmental policies foster the protection and sustainable use of natural resources and the management of pollution.,Policy and institutions for environmental sustainability assess the extent to which environmental policies foster the protection and sustainable use of natural resources and the management of pollution.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA property rights and rule-based governance rating (1=low to 6=high),Property rights and rule-based governance assess the extent to which private economic activity is facilitated by an effective legal system and rule-based governance structure in which property and contract rights are reliably respected and enforced.,Property rights and rule-based governance assess the extent to which private economic activity is facilitated by an effective legal system and rule-based governance structure in which property and contract rights are reliably respected and enforced.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA public sector management and institutions cluster average (1=low to 6=high),"The public sector management and institutions cluster includes property rights and rule-based governance, quality of budgetary and financial management, efficiency of revenue mobilization, quality of public administration, and transparency, accountability, and corruption in the public sector.","The public sector management and institutions cluster includes property rights and rule-based governance, quality of budgetary and financial management, efficiency of revenue mobilization, quality of public administration, and transparency, accountability, and corruption in the public sector.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA quality of budgetary and financial management rating (1=low to 6=high),"Quality of budgetary and financial management assesses the extent to which there is a comprehensive and credible budget linked to policy priorities, effective financial management systems, and timely and accurate accounting and fiscal reporting, including timely and audited public accounts.","Quality of budgetary and financial management assesses the extent to which there is a comprehensive and credible budget linked to policy priorities, effective financial management systems, and timely and accurate accounting and fiscal reporting, including timely and audited public accounts.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA quality of public administration rating (1=low to 6=high),Quality of public administration assesses the extent to which civilian central government staff is structured to design and implement government policy and deliver services effectively.,Quality of public administration assesses the extent to which civilian central government staff is structured to design and implement government policy and deliver services effectively.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA social protection rating (1=low to 6=high),"Social protection and labor assess government policies in social protection and labor market regulations that reduce the risk of becoming poor, assist those who are poor to better manage further risks, and ensure a minimal level of welfare to all people.","Social protection and labor assess government policies in social protection and labor market regulations that reduce the risk of becoming poor, assist those who are poor to better manage further risks, and ensure a minimal level of welfare to all people.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA structural policies cluster average (1=low to 6=high),"The structural policies cluster includes trade, financial sector, and business regulatory environment.","The structural policies cluster includes trade, financial sector, and business regulatory environment.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
CPIA trade rating (1=low to 6=high),Trade assesses how the policy framework fosters trade in goods.,Trade assesses how the policy framework fosters trade in goods.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","Transparency, accountability, and corruption in the public sector assess the extent to which the executive can be held accountable for its use of funds and for the results of its actions by the electorate and by the legislature and judiciary, and the extent to which public employees within the executive are required to account for administrative decisions, use of resources, and results obtained. The three main dimensions assessed here are the accountability of the executive to oversight institutions and of public employees for their performance, access of civil society to information on public affairs, and state capture by narrow vested interests.","Transparency, accountability, and corruption in the public sector assess the extent to which the executive can be held accountable for its use of funds and for the results of its actions by the electorate and by the legislature and judiciary, and the extent to which public employees within the executive are required to account for administrative decisions, use of resources, and results obtained. The three main dimensions assessed here are the accountability of the executive to oversight institutions and of public employees for their performance, access of civil society to information on public affairs, and state capture by narrow vested interests.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,Annual,,,,,
"Current account balance (BoP, current US$)","Current account balance is the sum of net exports of goods, services, net income, and net current transfers. Data are in current U.S. dollars.","Current account balance is the sum of net exports of goods, services, net income, and net current transfers. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Current account: Balances,Annual,,Sum,,,
Customs and other import duties (% of tax revenue),Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.,Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.,"International Monetary Fund, Government Finance Statistics Yearbook and data files.",Public Sector: Government finance: Revenue,Annual,,,,,
Customs and other import duties (current LCU),Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.,Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.,"International Monetary Fund, Government Finance Statistics Yearbook and data files.",Public Sector: Government finance: Revenue,Annual,,,,,
Documents to export (number),"Documents to export are all documents required per shipment by government ministries, customs authorities, port and container terminals, health and technical control agencies, and banks to export goods. Documents renewed annually and not requiring renewal per shipment are excluded.","All documents required per shipment to export goods are recorded. It is assumed that the contract has already been agreed upon and signed by both parties. Documents required for clearance by government ministries, customs authorities, port and container terminal authorities, health and technical control agencies and banks are taken into account. Since payment is by letter of credit, all documents required by banks for the issuance or securing of a letter of credit are also taken into account. Documents that are renewed annually and that do not require renewal per shipment (for example, an annual tax clearance certificate) are not included.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Trade facilitation,Annual,,Unweighted average,,,
Documents to import (number),"Documents to import are all documents required per shipment by government ministries, customs authorities, port and container terminals, health and technical control agencies, and banks to import goods. Documents renewed annually and not requiring renewal per shipment are excluded.","All documents required per shipment to import goods are recorded. It is assumed that the contract has already been agreed upon and signed by both parties. Documents required for clearance by government ministries, customs authorities, port and container terminal authorities, health and technical control agencies and banks are taken into account. Since payment is by letter of credit, all documents required by banks for the issuance or securing of a letter of credit are also taken into account. Documents that are renewed annually and that do not require renewal per shipment (for example, an annual tax clearance certificate) are not included.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Trade facilitation,Annual,,Unweighted average,,,
Employment in agriculture (% of total employment),"Employees are people who work for a public or private employer and receive remuneration in wages, salary, commission, tips, piece rates, or pay in kind. Agriculture corresponds to division 1 (ISIC revision 2) or tabulation categories A and B (ISIC revision 3) and includes hunting, forestry, and fishing.","Employees are people who work for a public or private employer and receive remuneration in wages, salary, commission, tips, piece rates, or pay in kind. Agriculture corresponds to division 1 (ISIC revision 2) or tabulation categories A and B (ISIC revision 3) and includes hunting, forestry, and fishing.","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Economic activity,Annual,,Weighted average,,,
Employment in industry (% of total employment),"Employees are people who work for a public or private employer and receive remuneration in wages, salary, commission, tips, piece rates, or pay in kind. Industry corresponds to divisions 2-5 (ISIC revision 2) or tabulation categories C-F (ISIC revision 3) and includes mining and quarrying (including oil production), manufacturing, construction, and public utilities (electricity, gas, and water).","Employees are people who work for a public or private employer and receive remuneration in wages, salary, commission, tips, piece rates, or pay in kind. Industry corresponds to divisions 2-5 (ISIC revision 2) or tabulation categories C-F (ISIC revision 3) and includes mining and quarrying (including oil production), manufacturing, construction, and public utilities (electricity, gas, and water).","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Economic activity,Annual,,Weighted average,,,
Employment in services (% of total employment),"Employees are people who work for a public or private employer and receive remuneration in wages, salary, commission, tips, piece rates, or pay in kind. Services correspond to divisions 6-9 (ISIC revision 2) or tabulation categories G-P (ISIC revision 3) and include wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services.","Employees are people who work for a public or private employer and receive remuneration in wages, salary, commission, tips, piece rates, or pay in kind. Services correspond to divisions 6-9 (ISIC revision 2) or tabulation categories G-P (ISIC revision 3) and include wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services.","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Economic activity,Annual,,Weighted average,,,
Expense (% of GDP),"Expense is cash payments for operating activities of the government in providing goods and services. It includes compensation of employees (such as wages and salaries), interest and subsidies, grants, social benefits, and other expenses such as rent and dividends.","Expense is cash payments for operating activities of the government in providing goods and services. It includes compensation of employees (such as wages and salaries), interest and subsidies, grants, social benefits, and other expenses such as rent and dividends.","International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Public Sector: Government finance: Expense,Annual,,Weighted average,,,
Expense (current LCU),"Expense is cash payments for operating activities of the government in providing goods and services. It includes compensation of employees (such as wages and salaries), interest and subsidies, grants, social benefits, and other expenses such as rent and dividends.","Expense is cash payments for operating activities of the government in providing goods and services. It includes compensation of employees (such as wages and salaries), interest and subsidies, grants, social benefits, and other expenses such as rent and dividends.","International Monetary Fund, Government Finance Statistics Yearbook and data files.",Public Sector: Government finance: Expense,Annual,,,,,
Exports of goods and services (% of GDP),"Exports of goods and services represent the value of all goods and other market services provided to the rest of the world. They include the value of merchandise, freight, insurance, transport, travel, royalties, license fees, and other services, such as communication, construction, financial, information, business, personal, and government services. They exclude compensation of employees and investment income (formerly called factor services) and transfer payments.","Exports of goods and services represent the value of all goods and other market services provided to the rest of the world. They include the value of merchandise, freight, insurance, transport, travel, royalties, license fees, and other services, such as communication, construction, financial, information, business, personal, and government services. They exclude compensation of employees and investment income (formerly called factor services) and transfer payments.","World Bank national accounts data, and OECD National Accounts data files.",Economic Policy & Debt: National accounts: Shares of GDP & other,Annual,,Weighted average,,,
"Exports of goods and services (BoP, current US$)","Exports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, nonmonetary gold, and services. Data are in current U.S. dollars.","Exports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, nonmonetary gold, and services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Gap-filled total,,,
"Fertility rate, total (births per woman)",Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates.,"(1) United Nations Population Division. World Population Prospects, (2) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (3) Census reports and other statistical publications from national statistical offices, (4) Eurostat: Demographic Statistics, (5) Secretariat of the Pacific Community: Statistics and Demography Programme, and (6) U.S. Census Bureau: International Database.",Health: Reproductive health,Annual,,Weighted average,Annual data series are interpolated from 5-year period data. Therefore they may not reflect real events as much as observed data.,,
Firms expected to give gifts in meetings with tax officials (% of firms),"Firms expected to give gifts in meetings with tax officials is the percentage of firms that answered positively to the question ""was a gift or informal payment expected or requested during a meeting with tax officials?""","Firms expected to give gifts in meetings with tax officials is the percentage of firms that answered positively to the question ""was a gift or informal payment expected or requested during a meeting with tax officials?""","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Private Sector & Trade: Business environment,Annual,,,,,
Firms with female participation in ownership (% of firms),Firms with female participation in ownership are the percentage of firms with a woman among the principal owners.,Firms with female participation in ownership are the percentage of firms with a woman among the principal owners.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Private Sector & Trade: Business environment,Annual,,,,,
Fixed broadband Internet subscribers,"Fixed broadband Internet subscribers are the number of broadband subscribers with a digital subscriber line, cable modem, or other high-speed technology.","Fixed broadband Internet subscribers are the number of broadband subscribers with a digital subscriber line, cable modem, or other high-speed technology.","International Telecommunication Union, World Telecommunication/ICT Development Report and database.",Infrastructure: Communications,Annual,,,,,
Fixed broadband Internet subscribers (per 100 people),"Fixed broadband Internet subscribers are the number of broadband subscribers with a digital subscriber line, cable modem, or other high-speed technology.","Fixed broadband Internet subscribers are the number of broadband subscribers with a digital subscriber line, cable modem, or other high-speed technology.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",Infrastructure: Communications,Annual,,Weighted average,,,
Food exports (% of merchandise exports),"Food comprises the commodities in SITC sections 0 (food and live animals), 1 (beverages and tobacco), and 4 (animal and vegetable oils and fats) and SITC division 22 (oil seeds, oil nuts, and oil kernels).","Food comprises the commodities in SITC sections 0 (food and live animals), 1 (beverages and tobacco), and 4 (animal and vegetable oils and fats) and SITC division 22 (oil seeds, oil nuts, and oil kernels).",World Bank staff estimates from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Exports,Annual,,Weighted average,,,
Food imports (% of merchandise imports),"Food comprises the commodities in SITC sections 0 (food and live animals), 1 (beverages and tobacco), and 4 (animal and vegetable oils and fats) and SITC division 22 (oil seeds, oil nuts, and oil kernels).","Food comprises the commodities in SITC sections 0 (food and live animals), 1 (beverages and tobacco), and 4 (animal and vegetable oils and fats) and SITC division 22 (oil seeds, oil nuts, and oil kernels).",World Bank staff estimates from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Imports,Annual,,Weighted average,,,
